Rk,Team,Age,W_x,L_x,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27_level_1,Arena,Attend.,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W_y,L_y,W/L%,PS/G,PA/G,Conference
13.0,Los Angeles Clippers,29.1,19.0,14.0,18,15,1.09,0.47,1.56,110.6,109.5,1.1,98.1,0.249,0.4,0.573,,0.538,14.9,25.0,0.195,,0.533,14.0,76.9,0.195,,Intuit Dome,278616,16389,30.0,240.8,40.1,86.0,0.466,12.7,34.0,0.373,27.4,51.9,0.527,16.8,21.5,0.781,10.9,33.4,44.3,24.6,9.9,4.4,16.5,19.2,109.6,2024/2025,17.0,13.0,0.567,109.6,107.6,West
14.0,Sacramento Kings,27.6,14.0,19.0,18,15,1.09,-1.45,-0.36,114.9,113.8,1.1,99.0,0.246,0.39,0.577,,0.541,11.9,24.0,0.197,,0.548,13.4,77.6,0.209,,Golden 1 Center,303501,15974,30.0,242.5,42.5,89.4,0.476,11.9,34.8,0.342,30.6,54.6,0.561,17.8,22.3,0.801,10.2,33.4,43.6,25.7,8.2,4.8,13.4,20.0,114.8,2024/2025,13.0,17.0,0.433,114.8,113.6,West
15.0,Golden State Warriors,28.3,16.0,16.0,17,15,0.94,1.12,2.06,111.4,110.4,1.0,99.8,0.227,0.447,0.549,,0.523,12.3,27.4,0.162,,0.526,13.4,75.8,0.191,,Chase Center,289024,18064,29.0,240.9,41.3,91.8,0.45,15.4,41.4,0.372,26.0,50.4,0.515,14.8,20.9,0.706,12.8,34.2,47.0,28.9,8.8,5.4,14.3,19.8,112.8,2024/2025,15.0,14.0,0.517,112.8,111.0,West
16.0,San Antonio Spurs,25.7,17.0,16.0,17,16,0.27,-0.91,-0.63,112.7,112.4,0.3,98.6,0.254,0.45,0.572,,0.534,13.1,24.7,0.203,,0.527,12.1,74.5,0.159,,Frost Bank Center,337435,17760,30.0,240.8,40.1,87.7,0.458,13.9,39.8,0.348,26.3,47.8,0.549,17.5,22.0,0.797,10.8,34.0,44.8,28.6,7.5,6.9,15.0,16.4,111.7,2024/2025,15.0,15.0,0.5,111.7,112.8,West
17.0,Atlanta Hawks,24.9,18.0,15.0,16,17,-0.97,-0.33,-1.3,113.1,114.0,-0.9,103.6,0.269,0.396,0.575,,0.537,13.8,26.8,0.211,,0.556,14.3,75.6,0.183,,State Farm Arena,280524,16501,30.0,241.7,42.6,91.9,0.463,12.5,35.7,0.35,30.1,56.2,0.535,18.8,24.1,0.78,12.3,33.8,46.1,29.6,10.2,5.4,16.7,18.8,116.4,2024/2025,15.0,15.0,0.5,116.4,119.0,East
18.0,Phoenix Suns,29.3,15.0,17.0,14,18,-1.78,-0.03,-1.81,114.6,116.4,-1.8,97.3,0.265,0.446,0.588,,0.551,12.9,22.3,0.21,,0.546,11.7,75.4,0.192,,Footprint Center,307278,17071,29.0,241.7,40.2,85.1,0.472,14.7,38.6,0.382,25.5,46.6,0.547,18.1,22.7,0.798,9.3,33.4,42.7,27.2,7.8,4.7,14.0,18.1,113.3,2024/2025,15.0,14.0,0.517,113.3,114.6,West
19.0,Indiana Pacers,25.7,16.0,18.0,15,19,-2.24,-0.22,-2.45,114.1,116.4,-2.3,99.8,0.244,0.389,0.591,,0.559,12.9,20.7,0.191,,0.55,12.4,74.6,0.208,,Gainbridge Fieldhouse,237993,17000,30.0,241.7,42.8,87.3,0.49,12.8,34.1,0.376,30.0,53.2,0.563,16.4,20.7,0.793,8.3,32.2,40.6,27.9,8.4,5.3,14.6,19.9,114.8,2024/2025,15.0,15.0,0.5,114.8,115.9,East
20.0,Los Angeles Lakers,28.0,18.0,14.0,14,18,-2.41,0.06,-2.35,113.3,115.8,-2.5,98.4,0.281,0.389,0.58,,0.541,12.3,21.6,0.221,,0.553,12.7,74.3,0.167,,Crypto.com Arena,280552,18703,30.0,240.8,40.4,85.9,0.47,11.7,33.6,0.348,28.7,52.3,0.548,18.8,24.0,0.783,9.4,32.1,41.4,26.1,7.9,5.0,13.7,16.5,111.3,2024/2025,17.0,13.0,0.567,111.3,113.8,West
21.0,Detroit Pistons,25.5,14.0,18.0,13,19,-2.94,0.27,-2.67,112.3,115.2,-2.9,98.7,0.23,0.419,0.572,,0.542,13.8,25.5,0.177,,0.556,13.0,76.9,0.197,,Little Caesars Arena,243245,18711,30.0,243.3,41.4,88.8,0.467,13.4,37.0,0.363,28.0,51.8,0.541,15.6,20.3,0.768,11.0,33.6,44.7,25.8,6.9,5.3,16.1,20.0,111.9,2024/2025,13.0,17.0,0.433,111.9,114.6,East
22.0,Philadelphia 76ers,28.5,13.0,17.0,12,18,-3.07,0.06,-3.01,109.8,113.0,-3.2,96.6,0.284,0.416,0.558,,0.517,12.9,23.6,0.221,,0.556,15.8,74.6,0.206,,Wells Fargo Center,277941,19853,28.0,242.7,38.1,85.9,0.443,12.0,35.9,0.334,26.1,50.0,0.521,18.2,23.5,0.774,10.5,30.1,40.6,21.8,9.5,4.0,14.3,20.1,106.4,2024/2025,11.0,17.0,0.393,106.4,110.5,East
23.0,Chicago Bulls,25.6,15.0,18.0,13,20,-3.48,1.08,-2.41,112.8,116.1,-3.3,103.9,0.207,0.48,0.585,,0.556,13.0,20.2,0.165,,0.545,10.6,77.5,0.182,,United Center,319236,19952,30.0,240.0,42.7,91.3,0.468,16.3,44.0,0.37,26.4,47.3,0.558,15.5,19.3,0.8,9.0,35.7,44.7,29.1,7.4,4.7,15.1,18.3,117.2,2024/2025,13.0,17.0,0.433,117.2,121.1,East
24.0,Brooklyn Nets,25.9,12.0,20.0,11,21,-4.94,1.42,-3.52,110.9,115.9,-5.0,96.6,0.251,0.468,0.577,,0.539,14.3,21.7,0.203,,0.565,14.0,75.6,0.227,,Barclays Center,247058,17647,29.0,241.7,38.3,84.4,0.454,14.8,39.7,0.373,23.5,44.8,0.525,17.3,21.3,0.809,9.0,30.1,39.1,25.5,7.2,3.8,15.2,22.1,108.7,2024/2025,11.0,18.0,0.379,108.7,114.0,East
25.0,Charlotte Hornets,25.3,7.0,25.0,10,22,-6.66,0.82,-5.84,107.7,114.4,-6.7,97.7,0.215,0.468,0.539,,0.507,14.0,27.6,0.166,,0.546,13.1,75.8,0.21,,Spectrum Center,310123,17229,29.0,241.7,38.5,89.8,0.429,14.7,42.4,0.346,23.8,47.4,0.503,14.8,19.2,0.77,13.2,32.1,45.4,23.5,8.0,4.9,15.9,21.1,106.4,2024/2025,7.0,22.0,0.241,106.4,113.0,East
26.0,Toronto Raptors,24.8,7.0,26.0,9,24,-8.18,1.71,-6.48,109.8,117.9,-8.1,100.3,0.242,0.369,0.553,,0.521,14.3,28.3,0.182,,0.549,12.3,73.2,0.239,,Scotiabank Arena,320769,18869,30.0,242.5,42.0,90.5,0.464,11.5,33.2,0.345,30.5,57.3,0.533,16.7,22.3,0.747,12.6,32.4,45.0,28.6,7.7,4.7,16.2,22.7,112.1,2024/2025,7.0,23.0,0.233,112.1,117.3,East
27.0,Utah Jazz,24.7,7.0,24.0,8,23,-8.81,0.72,-8.09,111.8,120.7,-8.9,99.3,0.276,0.444,0.58,,0.542,16.2,28.0,0.218,,0.561,10.4,74.5,0.184,,Delta Center,254450,18175,28.0,240.0,38.9,85.1,0.457,13.7,37.8,0.363,25.2,47.4,0.532,18.8,23.9,0.787,12.0,32.8,44.8,24.6,6.9,5.2,18.7,18.5,110.3,2024/2025,7.0,21.0,0.25,110.3,119.5,West
28.0,Portland Trail Blazers,24.2,11.0,21.0,8,24,-9.28,0.5,-8.78,108.7,118.1,-9.4,99.4,0.239,0.403,0.545,,0.51,14.2,28.0,0.184,,0.562,13.6,72.0,0.215,,Moda Center,276701,17294,29.0,240.0,39.5,90.0,0.439,12.0,36.4,0.33,27.4,53.6,0.512,16.1,20.9,0.772,12.9,30.3,43.2,22.7,8.2,5.7,16.4,19.8,107.1,2024/2025,9.0,20.0,0.31,107.1,116.8,West
29.0,New Orleans Pelicans,25.9,5.0,28.0,6,27,-11.27,1.44,-9.84,107.6,118.9,-11.3,98.9,0.235,0.374,0.537,,0.503,13.3,27.2,0.179,,0.565,13.2,71.8,0.183,,Smoothie King Center,298189,16566,30.0,240.8,39.3,89.8,0.437,11.1,33.3,0.332,28.2,56.5,0.5,16.1,21.2,0.757,12.7,30.4,43.1,24.0,9.4,5.3,15.2,18.4,105.7,2024/2025,5.0,25.0,0.167,105.7,117.2,West
30.0,Washington Wizards,23.7,5.0,25.0,5,25,-14.03,3.39,-10.65,105.5,119.2,-13.7,102.3,0.231,0.413,0.544,,0.509,14.0,22.6,0.179,,0.55,11.5,72.4,0.212,,Capital One Arena,286745,16651,27.0,240.0,39.6,90.1,0.44,12.0,36.9,0.325,27.6,53.2,0.519,16.1,20.8,0.777,10.5,33.5,44.0,24.4,7.9,5.9,16.5,21.4,107.4,2024/2025,4.0,23.0,0.148,107.4,122.2,East
,League Average,26.5,,,16,16,0.0,0.0,0.0,113.1,113.1,,99.3,0.248,0.424,0.574,,0.54,13.1,24.7,0.193,,0.54,13.1,75.3,0.193,,,290208,17985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
