Unnamed: 0,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27_level_1,Arena,Attend.,Attend./G,Season,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,PS/G,PA/G,Conference,PTS_rolling_avg,ORB_rolling_avg,DRB_rolling_avg,AST_rolling_avg,3P_rolling_avg,3PA_rolling_avg,STL_rolling_avg,BLK_rolling_avg,Point_Differential,win_ratio_trend
0,1.0,Utah Jazz,28.5,52.0,20.0,55.0,17.0,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,,0.563,12.7,24.5,0.195,,0.507,10.3,79.3,0.159,,Vivint Smart Home Arena,151300.0,4203.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,Los Angeles Clippers,28.8,47.0,25.0,49.0,23.0,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,,0.564,12.2,22.7,0.186,,0.531,11.9,79.1,0.186,,STAPLES Center,13901.0,386.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,Phoenix Suns,26.6,51.0,21.0,49.0,23.0,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,,0.564,11.5,20.8,0.177,,0.534,12.4,78.5,0.194,,Phoenix Suns Arena,104027.0,2890.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,Milwaukee Bucks,28.1,46.0,26.0,48.0,24.0,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,,0.566,12.0,23.3,0.177,,0.536,11.5,79.7,0.157,,Fiserv Forum,64780.0,1799.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,Philadelphia 76ers,27.1,49.0,23.0,48.0,24.0,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,,0.541,12.8,23.2,0.225,,0.521,13.8,78.2,0.2,,Wells Fargo Center,68583.0,1905.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,Denver Nuggets,26.1,47.0,25.0,47.0,25.0,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,,0.557,12.1,24.7,0.176,,0.545,12.9,78.9,0.2,,Ball Arena,54563.0,1516.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,Brooklyn Nets,28.2,48.0,24.0,46.0,26.0,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,,0.575,12.2,21.4,0.208,,0.531,11.1,77.3,0.187,,Barclays Center,30491.0,847.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,Los Angeles Lakers,28.2,42.0,30.0,42.0,30.0,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,,0.536,13.6,22.5,0.2,,0.526,13.7,79.7,0.184,,STAPLES Center,23313.0,648.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,Dallas Mavericks,26.3,42.0,30.0,41.0,31.0,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,,0.55,11.1,21.1,0.189,,0.534,11.5,77.8,0.197,,American Airlines Center,94849.0,2635.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,New York Knicks,25.6,41.0,31.0,41.0,31.0,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,,0.524,11.9,21.9,0.19,,0.509,11.7,78.6,0.196,,Madison Square Garden (IV),42131.0,1170.0,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
