Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Season
Memphis Grizzlies*,51,31,.622,2.0,116.9,113.0,3.60,West,2022/2023
Sacramento Kings*,48,34,.585,5.0,120.7,118.1,2.30,West,2022/2023
Phoenix Suns*,45,37,.549,8.0,113.6,111.6,2.08,West,2022/2023
Los Angeles Clippers*,44,38,.537,9.0,113.6,113.1,0.31,West,2022/2023
Golden State Warriors*,44,38,.537,9.0,118.9,117.1,1.66,West,2022/2023
Los Angeles Lakers*,43,39,.524,10.0,117.2,116.6,0.43,West,2022/2023
Minnesota Timberwolves*,42,40,.512,11.0,115.8,115.8,-0.22,West,2022/2023
New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63,West,2022/2023
Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96,West,2022/2023
Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14,West,2022/2023
Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03,West,2022/2023
Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96,West,2022/2023
Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62,West,2022/2023
San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82,West,2022/2023
Boston Celtics*,64,18,.780,—,120.6,109.2,10.75,East,2023/2024
New York Knicks*,50,32,.610,14.0,112.8,108.2,4.36,East,2023/2024
Milwaukee Bucks*,49,33,.598,15.0,119.0,116.4,2.44,East,2023/2024
Cleveland Cavaliers*,48,34,.585,16.0,112.6,110.2,1.98,East,2023/2024
Orlando Magic*,47,35,.573,17.0,110.5,108.4,1.48,East,2023/2024
Indiana Pacers*,47,35,.573,17.0,123.3,120.2,2.75,East,2023/2024
Philadelphia 76ers*,47,35,.573,17.0,114.6,111.5,2.51,East,2023/2024
Miami Heat*,46,36,.561,18.0,110.1,108.4,1.10,East,2023/2024
Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77,East,2023/2024
Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38,East,2023/2024
Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02,East,2023/2024
Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45,East,2023/2024
Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12,East,2023/2024
Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29,East,2023/2024
Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06,East,2023/2024
Oklahoma City Thunder*,57,25,.695,—,120.1,112.7,7.36,West,2023/2024
Denver Nuggets*,57,25,.695,—,114.9,109.6,5.23,West,2023/2024
Minnesota Timberwolves*,56,26,.683,1.0,113.0,106.5,6.39,West,2023/2024
Los Angeles Clippers*,51,31,.622,6.0,115.6,112.3,3.41,West,2023/2024
Dallas Mavericks*,50,32,.610,7.0,117.9,115.6,2.30,West,2023/2024
Phoenix Suns*,49,33,.598,8.0,116.2,113.2,3.08,West,2023/2024
New Orleans Pelicans*,49,33,.598,8.0,115.1,110.7,4.46,West,2023/2024
Los Angeles Lakers*,47,35,.573,10.0,118.0,117.4,1.07,West,2023/2024
Sacramento Kings,46,36,.561,11.0,116.6,114.8,2.29,West,2023/2024
Golden State Warriors,46,36,.561,11.0,117.8,115.2,2.77,West,2023/2024
Houston Rockets,41,41,.500,16.0,114.3,113.2,1.24,West,2023/2024
Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22,West,2023/2024
Memphis Grizzlies,27,55,.329,30.0,105.8,112.8,-6.57,West,2023/2024
San Antonio Spurs,22,60,.268,35.0,112.1,118.6,-5.80,West,2023/2024
Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29,West,2023/2024
